Restaurant Name,Location,City,Cuisines,Average Cost for Two,Currency,Has Table Booking,Has Online Delivery,Aggregate Rating,Rating Color,Rating Text,Votes,Restaurant Type,Address,Phone Number
Hogan Inc, hsr ,Bangalore,Continental,200.0,INR,Yes,Yes,4.0,Orange,Poor,2947.0,Quick Bites,"240 Bishop Spurs, East Deborahside, SD 32214",001-693-018-0713
Dennis Inc, whitefield ,Bangalore,Chinese,500.0,INR,No,No,3.506421052631579,Green,Excellent,4478.0,Quick Bites,"Unit 4210 Box 3749, DPO AE 06247",524.188.8325
"Stevens, Hale And Garcia", btm ,Bangalore,Continental,700.0,INR,Yes,Yes,2.9,Orange,Excellent,1049.0,Casual Dining,"45529 Kristy Summit, Port Brian, FL 02033",-4729
Hart-Stuart, btm ,Bangalore,South Indian,700.0,INR,Yes,Yes,3.2,Yellow,Excellent,1797.0,Quick Bites,"PSC 7999, Box 9004, APO AE 70136",150-835-6903x074
"Huynh, Jennings And Smith", jayanagar ,Bangalore,Continental,500.0,INR,Yes,No,3.8,Yellow,Average,4276.0,Casual Dining,"36059 Patterson Route, New Gina, PA 04276",001-495-354-5675x54031
Rice-Gomez, whitefield ,Bangalore,Chinese,600.0,INR,No,Yes,4.7,Red,Good,2493.0,Cafe,"937 Jeremy Island, South Brandonberg, MT 54519",+1-006-067-6068x657
Williams Group, hsr ,Bangalore,South Indian,600.0,INR,Yes,No,3.506421052631579,Yellow,Poor,5022.522421052631,Delivery,"9664 Baker Center, New Mandy, WV 71852",(871)504-1164x5883
Coleman Plc, whitefield ,Bangalore,Mexican,200.0,INR,No,No,3.6,Green,Good,896.0,Quick Bites,"4235 Timothy Roads Suite 347, East Phillipchester, HI 50008",087-894-6690
Lara-Mills, jayanagar ,Bangalore,Continental,300.0,INR,Yes,Yes,3.6,Orange,Good,2799.0,Cafe,"86886 Frederick Brooks Apt. 979, New Ashley, ID 64310",(374)455-7130x613
Barber-Jackson, hsr ,Bangalore,South Indian,300.0,INR,No,Yes,3.3,Orange,Poor,8145.0,Delivery,"16852 Jessica Lakes Suite 268, Scottport, RI 72199",335.278.3046x6191
Baker-Evans, jayanagar ,Bangalore,North Indian,300.0,INR,Yes,Yes,4.4,Green,Average,9628.0,Delivery,"26969 Miguel Burg Apt. 186, Port Anthonyburgh, NM 35380",898.725.0458x37580
Smith-Reed, jayanagar ,Bangalore,South Indian,300.0,INR,Yes,No,2.9,Red,Average,9949.0,Dessert Parlor,"90448 Moss Crest Apt. 358, East Adam, IL 22292",(259)359-3228x4740
Knight-Juarez, hsr ,Bangalore,Continental,600.0,INR,No,No,3.9,Green,Very Good,5603.0,Quick Bites,"059 Carlson Estate, Eileenberg, WY 83446",042-294-1241
"Martin, Chan And Moore", btm ,Bangalore,Continental,500.0,INR,No,No,4.9,Yellow,Excellent,3695.0,Quick Bites,"3256 Vincent Brook Apt. 018, West Lauren, ND 81974",+1-720-311-9152x91149
Davis-Hester, indiranagar ,Bangalore,Continental,300.0,INR,Yes,Yes,3.8,Yellow,Average,3480.0,Delivery,"88545 Rice Island, New Brandyport, WA 27158",001-617-235-0041x4778
Thompson-Alvarado, indiranagar ,Bangalore,Mexican,400.0,INR,Yes,No,3.2,Green,Average,6088.0,Dessert Parlor,"294 Watkins Field Suite 146, West Mark, PA 32129",(962)758-0275
Solomon-Miles, hsr ,Bangalore,Continental,300.0,INR,Yes,No,4.5,Yellow,Very Good,7024.0,Dessert Parlor,"91462 Moore Forge, North Dave, WI 12061",964.865.5901x154
"Vega, Smith And Morales", koramangala ,Bangalore,Italian,400.0,INR,No,No,3.1,Yellow,Poor,9296.0,Delivery,"8015 Melissa Path Apt. 496, North Kaitlinview, MN 64206",304.051.8435x1326
Jackson And Sons, jayanagar ,Bangalore,Continental,200.0,INR,No,Yes,3.0,Green,Poor,6555.0,Delivery,"USNV Simpson, FPO AE 66490",(882)904-4432x02889
"Dalton, Hardin And Martin", hsr ,Bangalore,Continental,600.0,INR,Yes,Yes,2.8,Orange,Good,8680.0,Casual Dining,"77959 Frey Brooks Suite 527, Lake Isaac, ME 16776",001-188-579-5023x60307
Matthews-Walter, jayanagar ,Bangalore,South Indian,300.0,INR,No,Yes,2.0,Yellow,Poor,4418.0,Dessert Parlor,"5810 Amanda Plaza, Emilyborough, AR 67720",(947)402-6341
Case Inc, whitefield ,Bangalore,South Indian,700.0,INR,Yes,Yes,3.0,Orange,Poor,1091.0,Quick Bites,"957 Moore Loaf Suite 543, Lake Alyssaville, NE 40347",975-470-6844
Ali-Johnson, whitefield ,Bangalore,Italian,200.0,INR,Yes,Yes,2.4,Red,Poor,594.0,Casual Dining,"8443 Garcia Expressway Apt. 689, Martinezville, VA 44547",(328)414-7189
"Miles, Adams And Logan", indiranagar ,Bangalore,Continental,700.0,INR,No,No,2.8,Orange,Average,9323.0,Delivery,"481 Brandi Neck Suite 690, Rosshaven, MO 77026",918-578-1676x488
Costa-Vaughan, indiranagar ,Bangalore,Continental,200.0,INR,No,Yes,3.2,Green,Average,9166.0,Casual Dining,"9943 David Bridge Suite 084, Fisherfort, RI 71347",547.215.9932
Jones Llc, btm ,Bangalore,North Indian,400.0,INR,No,No,4.9,Green,Poor,2317.0,Quick Bites,"2458 Hernandez Creek, Whitneyberg, MO 73324",398-250-4595
Carter-Wilcox, jayanagar ,Bangalore,Unknown,300.0,INR,Yes,Yes,4.0,Green,Poor,2335.0,Quick Bites,"92117 Jackson Ranch, West Christian, MT 42964",292-633-6333x66398
Mcconnell-Schneider, jayanagar ,Bangalore,Unknown,700.0,INR,Yes,No,3.4,Orange,Good,6316.0,Delivery,"279 Cox Divide Apt. 150, New Alvin, WV 44514",001-948-607-7609x437
Olson Llc, whitefield ,Bangalore,Unknown,500.0,INR,Yes,No,3.3,Green,Average,3990.0,Cafe,"41833 Fox Causeway, North Roberthaven, MT 82979",308-102-5564x12232
Moore-Snyder, koramangala ,Bangalore,Chinese,500.0,INR,No,Yes,2.0,Yellow,Good,4383.0,Casual Dining,"7398 Dougherty Meadow Suite 851, North Carol, MA 49592",510.717.9776
Mitchell Inc, hsr ,Bangalore,Italian,200.0,INR,Yes,No,4.7,Yellow,Average,674.0,Dessert Parlor,"0507 Lam Vista Suite 495, West Molly, NE 35390",+1-528-651-9611x57319
Dominguez Plc, whitefield ,Bangalore,Chinese,200.0,INR,No,No,2.3,Yellow,Very Good,8421.0,Casual Dining,"738 James Ville Apt. 897, North Elizabeth, SD 65406",704.917.9173x759
Houston Plc, whitefield ,Bangalore,Chinese,400.0,INR,Yes,No,3.9,Green,Poor,8457.0,Cafe,"894 Steven Mountain, Mcmahonmouth, NC 89505",001-727-614-5423
Anderson Ltd, whitefield ,Bangalore,Chinese,300.0,INR,No,No,3.9,Orange,Very Good,9652.0,Cafe,"489 Kristen Island Suite 448, Smithmouth, KS 32274",430-451-7722
Brown Plc, indiranagar ,Bangalore,North Indian,400.0,INR,Yes,Yes,3.6,Yellow,Very Good,8338.0,Dessert Parlor,"2816 Lisa Mills Suite 817, West Anthonyshire, VT 41925",718.152.4159x2497
"Underwood, Garner And Bennett", indiranagar ,Bangalore,Unknown,448.9606039661864,INR,Yes,No,4.4,Orange,Very Good,431.0,Cafe,"862 Justin Field Suite 790, New Michelleview, ND 17659",293.764.8814x159
Gibbs-Lopez, whitefield ,Bangalore,Italian,500.0,INR,No,Yes,4.1,Red,Very Good,1205.0,Dessert Parlor,"9960 Mccormick Inlet, Karenville, MI 18420",6518479278
Black-Harper, koramangala ,Bangalore,Continental,200.0,INR,No,No,3.0,Yellow,Good,8584.0,Dessert Parlor,"34623 Ricardo Extensions Suite 883, Evanschester, HI 51214",291-264-8520x5282
"Weber, Mitchell And Hernandez", whitefield ,Bangalore,Continental,200.0,INR,No,Yes,2.2,Green,Excellent,8336.0,Casual Dining,"660 Anderson Alley, Port Megan, AL 14775",-2658
Ryan Plc, hsr ,Bangalore,Mexican,300.0,INR,Yes,No,2.6,Orange,Excellent,6567.0,Quick Bites,"7158 Nguyen Causeway, Gomezton, FL 58725",861.445.4827
"Fuentes, Little And Mitchell", koramangala ,Bangalore,Chinese,600.0,INR,No,No,3.0,Red,Very Good,7726.0,Dessert Parlor,"062 Brown Cliff, Port Kristinaborough, KS 28354",447-134-3248
Ross-Young, hsr ,Bangalore,Continental,600.0,INR,Yes,Yes,2.6,Yellow,Very Good,1858.0,Quick Bites,"2764 Anthony Circles Apt. 536, West Victoriamouth, AL 30620",674-996-8435x47096
Hopkins Llc, koramangala ,Bangalore,South Indian,300.0,INR,No,Yes,2.0,Yellow,Very Good,4922.0,Casual Dining,"79653 Aimee Oval Apt. 408, Jennifermouth, MN 70369",001-033-664-0326x7152
Howard-Johnson, btm ,Bangalore,South Indian,700.0,INR,Yes,Yes,3.1,Orange,Good,3775.0,Delivery,"49576 Glenda Field Suite 221, Beckborough, GA 16443",189.369.9976x70754
Obrien-Mckinney, indiranagar ,Bangalore,Mexican,200.0,INR,Yes,Yes,4.1,Green,Excellent,1828.0,Dessert Parlor,"73993 Kathy Ridges Suite 405, East Stephen, UT 94076",(488)905-9961x31212
"Adams, Thompson And Richards", jayanagar ,Bangalore,Italian,600.0,INR,Yes,Yes,4.4,Red,Average,3985.0,Cafe,"75494 King Stream Suite 795, South Mary, AL 99030",+1-288-959-7441x70055
Welch And Sons, jayanagar ,Bangalore,North Indian,500.0,INR,Yes,No,4.3,Red,Excellent,966.0,Quick Bites,"702 Brenda Flat, Sandystad, AK 83200",(484)710-5573x7882
White-Bowman, whitefield ,Bangalore,Italian,700.0,INR,Yes,Yes,3.3,Red,Very Good,9731.0,Cafe,"4954 Hall Mall Apt. 916, South Raymond, VT 20917",041-736-6086x9812
Rose And Sons, jayanagar ,Bangalore,Italian,700.0,INR,No,Yes,4.6,Red,Average,1936.0,Quick Bites,"PSC 7954, Box 5707, APO AP 47513",616.790.8554x63184
Bullock-Beck, jayanagar ,Bangalore,South Indian,300.0,INR,Yes,Yes,3.7,Green,Excellent,2527.0,Quick Bites,"3256 Simon Coves, New Davidbury, MA 74410",212.093.0864x4506
"Berry, Jones And Ortega", btm ,Bangalore,Unknown,200.0,INR,Yes,No,4.7,Yellow,Poor,33.0,Quick Bites,"638 Jimenez Manor Suite 214, Lake Melissaside, NV 84052",491.398.7766x671
"Donaldson, Diaz And Williams", jayanagar ,Bangalore,Unknown,700.0,INR,No,No,2.0,Yellow,Excellent,223.0,Delivery,"76664 Pace Plain Apt. 559, South Karamouth, UT 82421",241-290-2162
Lowery Group, koramangala ,Bangalore,Continental,700.0,INR,Yes,No,3.5,Yellow,Good,6719.0,Cafe,"92926 Evans Manors, Port Josephstad, NY 25874",001-955-890-9398
Thornton-Chang, indiranagar ,Bangalore,Continental,200.0,INR,Yes,Yes,3.5,Green,Good,3302.0,Casual Dining,"55840 Ian River Apt. 475, East Brianhaven, AK 61688",+1-630-227-6200x87480
"Bowers, Martinez And Cox", hsr ,Bangalore,Italian,500.0,INR,Yes,Yes,3.506421052631579,Orange,Excellent,976.0,Dessert Parlor,"935 Edwards Square Apt. 011, Lake Jeanetteport, VT 03508",(333)276-1766
Morris Group, btm ,Bangalore,Chinese,300.0,INR,Yes,Yes,3.9,Orange,Good,3151.0,Dessert Parlor,"2571 Fox Mills, Markmouth, ME 37080",+1-096-504-4309x0307
West Ltd, jayanagar ,Bangalore,Continental,500.0,INR,No,Yes,4.6,Yellow,Good,4453.0,Casual Dining,"973 Delacruz Expressway, West Jenniferbury, OR 93548",(486)761-2981x7767
Fletcher Ltd, jayanagar ,Bangalore,South Indian,400.0,INR,Yes,No,2.1,Red,Average,7813.0,Delivery,"304 Elliott Viaduct, East Kristen, OK 10737",-3376
Villanueva Ltd, koramangala ,Bangalore,South Indian,300.0,INR,Yes,No,3.2,Green,Good,5097.0,Quick Bites,"378 Sara Square Apt. 890, North Mary, CA 67589",740-167-4953x44741
"Wise, Francis And Dickerson", indiranagar ,Bangalore,South Indian,200.0,INR,No,Yes,3.6,Red,Average,5022.522421052631,Cafe,"16916 Mitchell Circles, Mariaburgh, CO 61269",(300)748-7554
"Johnson, Martin And Jones", whitefield ,Bangalore,Mexican,400.0,INR,Yes,Yes,3.5,Yellow,Poor,8266.0,Casual Dining,"193 Gates Courts, Martinezborough, OK 74421",+1-157-933-0917x61015
"Jones, Rogers And Taylor", koramangala ,Bangalore,Mexican,500.0,INR,Yes,No,3.9,Orange,Good,7284.0,Delivery,"314 Dawn Green Suite 155, North Devin, MD 95102",932297781
Walker-Pope, whitefield ,Bangalore,North Indian,500.0,INR,No,No,2.5,Yellow,Very Good,6822.0,Quick Bites,"774 Beard Land Suite 569, West James, OH 27041",324-176-3347x8100
Gregory-Carter, whitefield ,Bangalore,Mexican,400.0,INR,No,Yes,4.8,Red,Poor,2278.0,Quick Bites,"3591 Thomas Heights, Phelpsview, VT 38480",877-961-9350
"Price, Sanchez And Le", indiranagar ,Bangalore,Chinese,400.0,INR,No,Yes,3.9,Red,Very Good,3004.0,Quick Bites,"281 Luis Plain, New Christian, WY 04525",001-556-848-5671
Reed Ltd, koramangala ,Bangalore,Chinese,600.0,INR,No,Yes,3.9,Red,Good,6906.0,Cafe,"28878 Brandon Lodge, Karenshire, NJ 82686",(655)604-3828x269
Taylor Inc, koramangala ,Bangalore,Italian,300.0,INR,Yes,No,2.5,Green,Excellent,4744.0,Dessert Parlor,"36307 Gonzales Ferry, Portershire, AK 07814",(290)572-7296
Calderon-Brennan, hsr ,Bangalore,Mexican,400.0,INR,Yes,No,4.1,Yellow,Poor,427.0,Quick Bites,"927 Prince Trail Apt. 118, Ortizfurt, AR 49767",374-676-3396
Sanders Llc, indiranagar ,Bangalore,Chinese,448.9606039661864,INR,Yes,Yes,3.506421052631579,Yellow,Good,2998.0,Casual Dining,"7136 Murphy Stream Apt. 917, Jamesport, MI 55144",515.510.0899x192
Johnson-Bishop, jayanagar ,Bangalore,Mexican,300.0,INR,Yes,No,2.7,Yellow,Excellent,5022.522421052631,Dessert Parlor,"377 Costa Lodge, Rogersborough, IL 28072",842-419-6862x1347
Lewis-May, whitefield ,Bangalore,Continental,700.0,INR,Yes,No,3.6,Red,Average,7883.0,Casual Dining,"13656 Cassandra Curve Apt. 616, Lake Taylor, CT 45392",424.692.1353
Green Plc, indiranagar ,Bangalore,North Indian,600.0,INR,Yes,No,2.0,Yellow,Good,6239.0,Casual Dining,"9750 Ronald Extension Suite 796, Port Jessicaton, ID 93348",(927)972-2146x74819
"White, King And Chan", whitefield ,Bangalore,Continental,200.0,INR,Yes,No,5.0,Orange,Very Good,8094.0,Dessert Parlor,"PSC 7413, Box 8456, APO AP 34499",291.851.3232x399
Graves-Jones, whitefield ,Bangalore,Chinese,448.9606039661864,INR,Yes,Yes,4.8,Orange,Excellent,5503.0,Quick Bites,"Unit 1183 Box 3983, DPO AE 28845",+1-875-274-8656x6058
Wong And Sons, hsr ,Bangalore,Chinese,600.0,INR,Yes,No,3.2,Red,Average,5022.522421052631,Cafe,"1272 Smith River, North Paula, MD 63060",986.103.1069
"Rivera, Hernandez And Smith", koramangala ,Bangalore,Chinese,700.0,INR,Yes,Yes,2.1,Yellow,Very Good,8373.0,Delivery,"Unit 5871 Box 5792, DPO AE 27202",883-291-8151
Horn Group, whitefield ,Bangalore,Chinese,700.0,INR,No,No,4.0,Orange,Average,5806.0,Delivery,"USS Stewart, FPO AA 62963",137.443.2904x551
Pena-Moore, btm ,Bangalore,North Indian,200.0,INR,No,No,4.1,Green,Excellent,9448.0,Delivery,"8182 Brady Fort Suite 069, Wilsonchester, CO 36363",(143)673-3785x9267
Graham-Barber, koramangala ,Bangalore,Italian,300.0,INR,Yes,No,4.6,Orange,Very Good,5819.0,Casual Dining,"3776 Wilson Grove Suite 347, Jenniferborough, TX 42673",773-205-1091x686
"Lee, Watkins And Rodriguez", hsr ,Bangalore,Italian,500.0,INR,No,Yes,3.4,Green,Very Good,1607.0,Quick Bites,"USCGC Dixon, FPO AP 11215",001-448-221-2480x79995
Barnes-Mccormick, jayanagar ,Bangalore,North Indian,300.0,INR,Yes,No,4.5,Red,Good,9109.0,Quick Bites,"0087 Michael Canyon Suite 339, West Christopher, NM 99529",+1-173-319-9054x304
Brown Group, btm ,Bangalore,Italian,500.0,INR,Yes,Yes,2.3,Green,Poor,4407.0,Dessert Parlor,"038 Reynolds Points, New Kelly, NY 09235",001-352-548-8383x70870
Hughes-Webb, koramangala ,Bangalore,Mexican,400.0,INR,No,No,3.0,Red,Poor,2000.0,Cafe,"669 Stephanie Stravenue, Smithfort, WY 52741",(977)371-7685
Lucas-Ryan, indiranagar ,Bangalore,North Indian,400.0,INR,Yes,Yes,2.6,Orange,Average,8000.0,Quick Bites,"74660 Rachael Spurs, South Xavierside, PA 75702",(199)093-9893x3957
Williams Ltd, koramangala ,Bangalore,Continental,448.9606039661864,INR,Yes,Yes,4.1,Green,Excellent,1803.0,Dessert Parlor,"9201 Jonathan Inlet, Lake Donna, CA 96976",315-933-3980x1541
Barron-Martinez, whitefield ,Bangalore,Chinese,200.0,INR,No,Yes,2.5,Orange,Average,5022.522421052631,Quick Bites,"859 John Via, Wilkersonton, WV 81931",055.504.0164x290
"Williamson, Fletcher And George", jayanagar ,Bangalore,Italian,600.0,INR,No,No,3.7,Red,Poor,4328.0,Casual Dining,"70607 Peterson Mountains Apt. 270, Adamville, NJ 57879",467-511-2191
"Rosales, Rowe And Allen", hsr ,Bangalore,Chinese,200.0,INR,Yes,Yes,2.5,Yellow,Average,2459.0,Quick Bites,"5339 Washington Alley, New Stephanie, NM 36281",289-880-2323x6919
"White, Moore And David", koramangala ,Bangalore,Italian,200.0,INR,Yes,Yes,4.5,Green,Poor,665.0,Casual Dining,"64486 Daniel Plaza, Michaelshire, WY 19382",144-937-4267
"Castillo, Ward And Pitts", jayanagar ,Bangalore,South Indian,700.0,INR,No,No,3.8,Green,Excellent,9715.0,Dessert Parlor,"5449 Baker Highway, Greenefurt, GA 78590",675.868.3081
"Jensen, Watkins And Walls", indiranagar ,Bangalore,Chinese,300.0,INR,No,No,3.5,Yellow,Good,7631.0,Quick Bites,"1855 Adam Valleys, Philliphaven, HI 00783",688.648.0633x0429
"Willis, Jones And Smith", btm ,Bangalore,Italian,448.9606039661864,INR,No,No,3.9,Orange,Poor,6990.0,Cafe,"6831 Perez Wall Apt. 226, Amandaborough, GA 92453",-3924
Newton And Sons, indiranagar ,Bangalore,Unknown,300.0,INR,Yes,No,3.6,Yellow,Very Good,1455.0,Dessert Parlor,"7594 Gonzales Harbors, East Cassandratown, NV 14619",+1-447-804-3664x18225
"Summers, Schmidt And Hoffman", hsr ,Bangalore,South Indian,300.0,INR,Yes,No,3.4,Red,Poor,785.0,Casual Dining,"PSC 0306, Box 8484, APO AP 92613",804-745-0976x636
Maxwell-Bentley, indiranagar ,Bangalore,South Indian,700.0,INR,No,Yes,3.7,Green,Excellent,3309.0,Dessert Parlor,"6150 Howard Gardens, Lake Robert, DC 81877",514.670.7865x76638
Gonzales Inc, indiranagar ,Bangalore,Continental,400.0,INR,Yes,No,3.0,Red,Good,7552.0,Cafe,"1709 Brown Way, West Rosebury, NY 34063",109-492-5643x065
Copeland Inc, btm ,Bangalore,Continental,400.0,INR,Yes,Yes,4.4,Orange,Excellent,6561.0,Cafe,"67861 Tiffany Circle, Houseborough, MI 59784",001-948-977-7009x4156
Holloway Group, jayanagar ,Bangalore,Mexican,300.0,INR,Yes,No,4.8,Green,Very Good,4873.0,Quick Bites,"22318 Wendy Harbors, Ricardofurt, MD 67840",(765)679-9740x3487
"Little, Peters And Harrison", jayanagar ,Bangalore,South Indian,448.9606039661864,INR,Yes,No,3.9,Green,Good,4621.0,Casual Dining,"09769 Anthony Center Apt. 888, North Amyfurt, PA 48428",001-647-647-4604x1641
"Lynch, Johnson And Cooper", koramangala ,Bangalore,South Indian,500.0,INR,Yes,No,3.506421052631579,Green,Good,953.0,Casual Dining,"5936 Thomas Burg, Sherrytown, NV 17485",001-354-731-1722x8497
"Rivas, Davis And Garcia", btm ,Bangalore,Mexican,200.0,INR,Yes,Yes,4.2,Yellow,Excellent,2265.0,Casual Dining,"5631 Eric Oval Suite 643, Hayesmouth, MA 00678",001-810-199-6799x6287
"Bradford, Jensen And Murphy", hsr ,Bangalore,Mexican,200.0,INR,No,Yes,2.4,Red,Average,9958.0,Casual Dining,"260 Ashley Lakes Suite 340, Lake Wendy, MT 03287",001-660-472-5858x748
Sanchez Llc, jayanagar ,Bangalore,South Indian,500.0,INR,No,Yes,4.8,Orange,Average,7370.0,Quick Bites,"494 Collins Islands Apt. 291, Danielsland, NJ 89059",430-738-7624x8132
"Lewis, Lopez And Smith", hsr ,Bangalore,Continental,400.0,INR,No,Yes,2.2,Red,Poor,5022.522421052631,Dessert Parlor,"69215 Jesus Mountain, Leeview, KY 98768",007.967.4534x44585
Tran-Wilson, koramangala ,Bangalore,North Indian,600.0,INR,Yes,No,2.3,Red,Poor,3247.0,Cafe,"081 Hamilton Meadow, Lake Meganfort, CA 65419",001-868-306-9990x01152
Mendoza-Williams, hsr ,Bangalore,Italian,200.0,INR,Yes,Yes,3.1,Orange,Average,5946.0,Quick Bites,"14095 Mclean Estates Apt. 713, Brownside, HI 81416",(429)220-1611x798
Castaneda And Sons, koramangala ,Bangalore,Continental,448.9606039661864,INR,No,Yes,2.6,Red,Poor,1320.0,Delivery,"8970 Bailey Neck Apt. 810, Lake Maryshire, VA 75384",001-280-881-3611x186
Farmer Plc, jayanagar ,Bangalore,Chinese,300.0,INR,No,No,4.6,Yellow,Average,5022.522421052631,Dessert Parlor,"969 Rodgers Ranch Apt. 572, Williamsfort, DE 57245",(099)499-4935x1324
Cross-Elliott, whitefield ,Bangalore,Italian,700.0,INR,No,Yes,3.8,Orange,Poor,4829.0,Quick Bites,"344 Brianna Prairie Apt. 315, South Jill, FL 70889",7397369089
Adams And Sons, koramangala ,Bangalore,Italian,500.0,INR,No,Yes,2.2,Orange,Good,1962.0,Delivery,"9678 Amanda Mall Apt. 610, Port Saramouth, WI 10940",001-934-240-9409x9377
Arnold And Sons, hsr ,Bangalore,North Indian,700.0,INR,No,No,4.8,Orange,Average,7713.0,Casual Dining,"USCGC Peterson, FPO AE 12865",253-241-5301
Schaefer And Sons, koramangala ,Bangalore,Unknown,500.0,INR,Yes,Yes,3.506421052631579,Orange,Average,5188.0,Casual Dining,"14735 Michael Club, Codytown, FL 30078",(137)445-7234x16297
"Barnett, Tyler And Powell", whitefield ,Bangalore,North Indian,700.0,INR,Yes,No,3.506421052631579,Orange,Very Good,3646.0,Cafe,"19416 Patrick Overpass, Port Lesliehaven, SD 54321",760-184-7279x54887
Lane-Aguilar, jayanagar ,Bangalore,Chinese,400.0,INR,Yes,Yes,4.8,Green,Excellent,5907.0,Dessert Parlor,"649 Julie View, Angelashire, KS 33059",846-243-6934
Black-Richards, whitefield ,Bangalore,Italian,500.0,INR,No,Yes,3.9,Orange,Average,6639.0,Delivery,"0329 Michelle Roads, Davidport, FL 89762",458-032-3752x252
Herrera And Sons, btm ,Bangalore,Continental,200.0,INR,No,No,3.1,Orange,Very Good,247.0,Casual Dining,"3578 Christina Route Apt. 235, Chadstad, WI 16183",(732)476-2279x885
"Hughes, Melton And Martinez", hsr ,Bangalore,Chinese,600.0,INR,Yes,Yes,4.9,Red,Good,8037.0,Quick Bites,"5931 Jerry Burg, Cruzburgh, OR 03869",991.568.1961
Byrd-Booth, btm ,Bangalore,Mexican,600.0,INR,Yes,No,3.8,Orange,Excellent,9283.0,Casual Dining,"644 Gomez Lake, Mariahtown, KS 69040",(477)929-9386x04797
Wright Ltd, jayanagar ,Bangalore,Chinese,400.0,INR,Yes,No,2.3,Yellow,Good,4496.0,Cafe,"758 Debra Greens Apt. 485, South Ryanmouth, SD 54944",001-965-993-7747x4834
Davis Inc, koramangala ,Bangalore,Italian,500.0,INR,Yes,Yes,4.7,Green,Poor,8908.0,Casual Dining,"28677 Thomas Point, Port Amy, OK 96310",001-048-114-6474x494
Perry-Simmons, btm ,Bangalore,North Indian,400.0,INR,No,Yes,2.0,Red,Very Good,5930.0,Dessert Parlor,"096 Smith Key Suite 467, Michaelburgh, ID 57223",001-697-599-3645
Thompson Inc, jayanagar ,Bangalore,Mexican,700.0,INR,No,No,2.3,Red,Excellent,2943.0,Quick Bites,"6293 Berry Camp, Leachshire, IA 95274",171.813.1256
Lee-Acosta, indiranagar ,Bangalore,North Indian,200.0,INR,No,No,2.1,Yellow,Average,6240.0,Quick Bites,"20017 Hernandez Ramp Apt. 250, New Kevin, VT 36119",912.432.9609
"Wade, Hodge And Pugh", whitefield ,Bangalore,Continental,200.0,INR,No,No,4.3,Red,Poor,9678.0,Casual Dining,"5367 Sandoval Divide Apt. 795, New Jessica, TN 49800",730.335.5539
Mitchell Llc, koramangala ,Bangalore,Chinese,300.0,INR,Yes,No,3.0,Orange,Poor,4298.0,Cafe,"14101 Mathis Extension, Lake Alexandra, MA 73143",154-521-9331
"Middleton, Brown And Fischer", koramangala ,Bangalore,Mexican,600.0,INR,No,No,4.3,Green,Very Good,5966.0,Quick Bites,"6091 Derek Fall Suite 085, North Christopherside, NY 20894",310.642.7859
"Bennett, Sloan And Bowman", jayanagar ,Bangalore,Italian,448.9606039661864,INR,Yes,Yes,4.8,Red,Excellent,6681.0,Quick Bites,"178 Benjamin Landing Suite 460, New Alexis, NM 78012",676-263-8527
Bell-Lewis, whitefield ,Bangalore,Continental,300.0,INR,Yes,Yes,2.1,Orange,Very Good,4791.0,Quick Bites,"73436 Lewis Square Suite 094, West Edward, RI 19836",(941)995-5149x9685
"Baker, Johnson And Hampton", btm ,Bangalore,South Indian,448.9606039661864,INR,No,Yes,3.7,Green,Average,6241.0,Quick Bites,"643 Kenneth Land, Lopezbury, AL 96189",+1-059-447-2502x9930
Phillips-Montgomery, indiranagar ,Bangalore,Unknown,200.0,INR,No,Yes,2.8,Yellow,Good,3002.0,Cafe,"2850 Knapp Pass Suite 773, Maryfurt, SC 89247",655.966.8164x089
"Cortez, Allen And Harrison", whitefield ,Bangalore,Continental,600.0,INR,Yes,No,3.3,Yellow,Average,1344.0,Cafe,"026 Jesse Cliffs Suite 950, East Devonside, DC 17115",(478)371-9036
Foster Group, btm ,Bangalore,North Indian,500.0,INR,Yes,Yes,2.4,Yellow,Average,4665.0,Quick Bites,"7422 Cynthia Keys, Port Johnberg, MN 30426",(344)723-5890
Carr Plc, jayanagar ,Bangalore,Chinese,400.0,INR,No,Yes,2.8,Green,Average,7377.0,Dessert Parlor,"012 Green Squares, North Ryantown, ND 99893",(768)758-8407x515
"Bass, Anderson And Kennedy", jayanagar ,Bangalore,Italian,400.0,INR,No,Yes,3.1,Yellow,Poor,5022.522421052631,Dessert Parlor,"50784 Holmes Prairie, Port Barbaraborough, NV 06520",962-539-7817x03805
"Terrell, Moyer And Mitchell", hsr ,Bangalore,Chinese,200.0,INR,No,No,3.6,Yellow,Very Good,9716.0,Delivery,"1660 Harvey Circle, West Tiffany, MD 22767",5208029352
Hurley-Davila, btm ,Bangalore,Mexican,300.0,INR,No,No,5.0,Orange,Excellent,3752.0,Dessert Parlor,"35318 Carlson Fields Suite 368, Estradaborough, MI 94063",(037)145-2514x769
"Blanchard, Olson And Moses", hsr ,Bangalore,North Indian,200.0,INR,Yes,Yes,3.8,Green,Good,2204.0,Quick Bites,"069 Loretta Lane Suite 171, West Carol, ND 11093",-3863
"Bryant, Butler And Taylor", hsr ,Bangalore,Continental,200.0,INR,Yes,Yes,2.3,Orange,Very Good,9680.0,Dessert Parlor,"5236 Phillips Walks, Greenshire, WY 45961",+1-067-893-5578x754
